Id,Category,SubCategory,Product,Price,Store,Notes
1,BATHROOM,,Quick-Dry 4pk Washcloths,$2.99,at home,
2,BATHROOM,,Quick-Dry Bath Towel,$2.99,at home,
3,BATHROOM,,Quick-Dry Hand Towel,$1.99,at home,
123,BATHROOM,,"Bath Rugs, 2pk",$14.99,Belk,
124,BATHROOM,,"Bath Rugs, Entire Stock",50% Off,Belk,
125,BATHROOM,,Biltmore Century 100% Cotton Oversized Bath Towels,$7.99,Belk,
126,BATHROOM,,Biltmore Century Bath Towels,$7.99,Belk,
127,BATHROOM,,Biltmore Providence Supima Bath Towels,$9.99,Belk,
128,BATHROOM,,Crown & Ivy 100% Cotton Bath Towels,$5.99,Belk,
129,BATHROOM,,Lauren Ralph Lauren Sanders Bath Towels,$9.99,Belk,
130,BATHROOM,,Modern. Southern. Home. Egyptian Dual Performance Bath Towels,$4.99,Belk,
131,BATHROOM,,Modern. Southern. Home. Essential 100% Cotton Bath Towels,$2.99,Belk,
2051,BATHROOM,,Bio Bidet USPA U6800 Luxury Bidet Seat,$219.99,Costco,
2052,BATHROOM,,Loft Luxe 2 Hand Towel and 2 Washcloth Set,$8.99,Costco,
2053,BATHROOM,,"Loft Luxe Bath Towel 30"" x 58""",$5.99,Costco,
2054,BATHROOM,,Tommy Bahama Men's Waffle Robe,$29.99,Costco,
2243,BATHROOM,,Wayland Square Ultra Soft Luxury Bathrobe,$12.99,CVS,
2588,BATHROOM,,"Bath Rug Sets, All, 2pc",$14.99,JCPenney,
2589,BATHROOM,,"Bath Rug Sets, All, 3pc",$14.99,JCPenney,
2590,BATHROOM,,Home Expressions Solid Bath Towel,$2.99,JCPenney,
2591,BATHROOM,,Home Expressions Striped Bath Towel,$2.99,JCPenney,
2592,BATHROOM,,"JcPenney Home 30"" x 54"" Quick-Dri Solid Bath Towel",$4.99,JCPenney,
2593,BATHROOM,,"JcPenney Home Blair 17"" x 24"" Bath Rug",$9.99,JCPenney,
2594,BATHROOM,,"JcPenney Home Bri 17"" x 24"" Bath Rug",$9.99,JCPenney,
2595,BATHROOM,,"JcPenney Home Diamond Ogee 17"" x 24"" Bath Rug",$9.99,JCPenney,
2596,BATHROOM,,"JcPenney Home Leaf Border 17"" x 24"" Bath Rug",$9.99,JCPenney,
2597,BATHROOM,,"JcPenney Home Leaf Jacquard 30"" x 54"" Performance Bath Towel",$4.99,JCPenney,
