Id,Category,SubCategory,Product,Price,Store,Notes
1,Electronics,DVD PLAYERS,,,,
2,Electronics,BLU-RAY PLAYERS,LG BP175 Streaming Audio Blu-Ray Player,$49.99,Best Buy,Doors open 5pm Thursday
3,Electronics,BLU-RAY PLAYERS,LG Smart Blu-Ray Player,$49.00,Walmart,$10 Vudu Credit with Purchase; Black Friday Begins Online Wed at 10pm ET and In Stores Thurs at 6pm
4,Electronics,BLU-RAY PLAYERS,LG UBK90 Streaing 4K UHD Hi-Res Audio Wi-Fi Built-In Blu-Ray Player,$149.99,Best Buy,Doors open 5pm Thursday
5,Electronics,BLU-RAY PLAYERS,Samsung UBD-M7500 Streaming 4K Ultra HD Wired Blu-Ray Player,$117.99,Best Buy,Doors open 5pm Thursday
6,Electronics,BLU-RAY PLAYERS,Samsung UBD-M9500 Streaming 4K UHD WiFi Built-In Blu-Ray Player,$199.99,Best Buy,Doors open 5pm Thursday
7,Electronics,BLU-RAY PLAYERS,Sony 4K Ultra-HD Blu-Ray Player,$149.99,Rite Aid,"Doors Open 5pm Thursday, Close 1am Friday and re-open 7am Friday"
8,Electronics,BLU-RAY PLAYERS,Sony UBP-X700 Streaming 4K UHD Hi-Res Audio WiFi Built-In Blu-Ray Player,$149.99,Best Buy,Doors open 5pm Thursday
9,Electronics,APPLE PRODUCTS,Airpods,$159.99,Rite Aid,"Doors Open 5pm Thursday, Close 1am Friday and re-open 7am Friday"
10,Electronics,APPLE PRODUCTS,Apple iPad 6th Generation,$249.00,Walmart,Black Friday Begins Online Wed at 10pm ET and In Stores Thurs at 6pm
11,Electronics,APPLE PRODUCTS,Apple iPad Mini 4 WiFi 128GB,$249.99,Best Buy,Doors open 5pm Thursday
12,Electronics,APPLE PRODUCTS,"Apple Watch Bands, Select Models",25% off,Best Buy,Doors open 5pm Thursday
13,Electronics,APPLE PRODUCTS,iPad Mini 4,$249.99,Rite Aid,"Doors Open 5pm Thursday, Close 1am Friday and re-open 7am Friday"
14,Electronics,APPLE PRODUCTS,"iPad, 6th Generation",$249.99,Rite Aid,"Doors Open 5pm Thursday, Close 1am Friday and re-open 7am Friday"
15,Electronics,APPLE PRODUCTS,iPhone Cases,10% Off,Best Buy,Doors open 5pm Thursday
16,Electronics,GPS,Garmin Drive 50LM GPS Navigator with Lifetime Map Updates,$89.99,Kohl's,"Get $15 Kohl's Cash; Doors Open at 5pm 11/22, Prices Valid Until 1pm 11/23; Earn $15 Kohl's Cash for Every $50 Spent"
